序号,计划时间,航班号,航空公司,航站楼,值机区域,目的地,计划到达时间
401,15:25,MU5574 AF4418 KL8810,中国东方航空公司,浦东(T1-S1),B,上海 浦东,14:00:00
402,15:30,CZ3256 3U1084 HO7374 MF1139,中国南方航空公司,虹桥(T2),D,深圳,18:05:00
403,15:30,Y87501,金鹏航空,浦东(T2-S2),A,三亚,18:42:00
404,15:30,MU5161 AF5297 HO5539 MF3573,中国东方航空公司,浦东(T1-S1),B,北京 首都,19:16:00
405,15:30,MU5806 3U5304 HO5354 MF3965,中国东方航空公司,虹桥(T2),B,昆明,18:55:00
406,15:30,CA8551 NZ3710 SC5497 ZH4835,中国国际航空公司,浦东(T2-S2),K,成都 双流,18:44:00
407,15:35,CZ6210 3U1532 BA2012 HO7532 MF1931,中国南方航空公司,浦东(T2-S2),B,哈尔滨,20:28:00
408,15:35,HO1081,吉祥航空公司,浦东(T2),L,海口,18:35:00
409,15:35,MU5413 3U5199 HO5350 MF3748,中国东方航空公司,虹桥(T2),C,成都 双流,18:30:00
410,15:35,9C6333,中国春秋航空公司,浦东(T2-S2),M,通辽,18:08:00
411,15:35,ZH9504 CA3312 HO5147 KY9504 SC9210 SC9484,深圳航空公司,虹桥(T2),A,深圳,18:05:00
412,15:40,CZ3552 3U1224 HO7421 MF1357,中国南方航空公司,虹桥(T2),D,深圳,18:10:00
413,15:40,MU6335 HO5531 MF7460,中国东方航空公司,虹桥(T2),B,大连,17:40:00
414,15:40,CA8589 ZH4389,中国国际航空公司,浦东(T2),K,大庆,20:04:00
415,15:40,HO1033,吉祥航空公司,浦东(T2),L,景洪 嘎洒,19:11:00
416,15:40,MU5635,中国东方航空公司,虹桥(T2),B,北海,18:40:00
417,15:45,9C6719,中国春秋航空公司,虹桥(T1),1,广州 白云,18:10:00
418,15:45,HO1079,吉祥航空公司,浦东(T2),L,长沙市,17:16:00
419,15:45,CA1884 LY8306 NZ3820 SC5405 ZH1884,中国国际航空公司,浦东(T2-S2),K,北京 首都,18:49:00
420,15:45,MU2160 MF3048,中国东方航空公司,虹桥(T2),B,西安 咸阳,18:15:00
421,15:50,UQ2600,乌鲁木齐航空公司,浦东(T2-S2),A,乌鲁木齐,21:03:00
422,15:50,FM9467 MU8515,上海航空公司,浦东(T1-S1),D,贵阳,18:16:33
423,15:50,FM9299 MU8339,上海航空公司,虹桥(T2),B,揭阳 潮汕,18:10:00
424,15:50,MU6355 HO5509 MF7472,中国东方航空公司,虹桥(T2),B,长春,18:30:00
425,15:50,CZ3540 HO7415 MF1350,中国南方航空公司,虹桥(T2),D,广州 白云,18:15:00
426,15:55,FM9349,上海航空公司,浦东(T1),D,郑州,17:40:00
427,15:55,9C6445,中国春秋航空公司,浦东(T2-S2),M,广元,18:55:00
428,15:55,CA8573 SC5161 ZH4851,中国国际航空公司,浦东(T2),K,海口,18:34:00
429,15:55,NS8317,河北航空公司,虹桥(T1),1,深圳,18:20:00
430,15:55,MF8317 3U2439 CZ4242 G59079 GJ3859 HO7102 MU4726,厦门航空有限公司,虹桥(T1),1,深圳,18:20:00
431,15:55,MU5349 HO5344 MF3699,中国东方航空公司,虹桥(T2),C,深圳,18:30:00
432,16:00,MU5117 MF3534,中国东方航空公司,虹桥(T2),C,北京 首都,18:15:00
433,16:00,MU9704 HO5609 MF2285,中国东方航空公司,浦东(T1-S1),B,大理,20:25:00
434,16:00,CZ6524 BA2006 HO7595 MF4154,中国南方航空公司,浦东(T2-S2),B,大连,18:35:00
435,16:00,MU5611 DL6469 KL8741 MF3878,中国东方航空公司,浦东(T1-S1),B,哈尔滨,20:40:00
436,16:00,MU6315 3U5391 HO5416,中国东方航空公司,浦东(T1),B,兴义,19:15:00
437,16:00,FM9357,上海航空公司,虹桥(T2),B,珠海,18:35:00
438,16:05,FM9425 MU8485,上海航空公司,浦东(T1-S1),D,重庆,18:52:00
439,16:05,9C8901,中国春秋航空公司,浦东(T2-S2),M,绵阳,19:42:00
440,16:05,HO1127 3U4397 CA3251 CZ076 MF7624 MU3624 ZH5025,吉祥航空公司,虹桥(T2),E,三亚,19:20:00
441,16:10,CZ6544 3U1662 HO7605,中国南方航空公司,浦东(T2-S2),B,长春,19:41:00
442,16:10,MF8522 3U2618 CZ4421 G59458 HO7259 MU4839 NS8522,厦门航空有限公司,虹桥(T1),1,厦门,17:55:00
443,16:15,CZ5122,中国南方航空公司,虹桥(T2),D,长沙市,17:49:00
444,16:15,CZ5742 HO7512 MF1777,中国南方航空公司,浦东(T2),B,揭阳 潮汕,04:05:00
445,16:15,CZ6516 HO7589 MF4146,中国南方航空公司,浦东(T2-S2),B,沈阳 桃仙,19:28:00
446,16:20,MU5591 MF3866,中国东方航空公司,虹桥(T2),B,三亚,19:15:00
447,16:20,FM9531 MU8529,上海航空公司,虹桥(T2),B,海口,19:15:00
448,16:20,FM9203 MU8359,上海航空公司,虹桥(T2),B,西安 咸阳,18:40:00
449,16:25,HU7120,海南航空公司,浦东(T2-S2),A,海口,19:27:00
450,16:25,CA8559 NZ3718 SC5485 ZH4269,中国国际航空公司,浦东(T2),K,成都 双流,19:09:00
451,16:25,MF8857 3U2763 CZ4564 G59727 MU4896 NS8857,厦门航空有限公司,虹桥(T1),1,泸州,19:30:00
452,16:30,MU5808 HO5597,中国东方航空公司,虹桥(T2),B,昆明,19:55:00
453,16:30,FM9315 DL6550 MU8419,上海航空公司,浦东(T1-S1),D,广州 白云,19:44:00
454,16:30,MU5311 HO5372 MF3668,中国东方航空公司,虹桥(T2),C,广州 白云,18:55:00
455,16:30,MU5631 DL6470 EY5710 HO5514 KL8740 MF3888,中国东方航空公司,浦东(T1-S1),B,福州,18:20:00
456,16:30,MU2522 HO5727 MF3269,中国东方航空公司,虹桥(T2),B,武汉 天河,18:25:00
457,16:35,9C8995,中国春秋航空公司,虹桥(T1),1,重庆,19:25:00
458,16:35,FM9337,上海航空公司,虹桥(T2),B,南宁,19:25:00
459,16:35,CZ3836 HO7480,中国南方航空公司,浦东(T2-S2),B,三亚,19:26:00
460,16:40,9C8949,中国春秋航空公司,虹桥(T1),1,深圳,19:10:00
461,16:40,ZH9506 CA3636 HO5175 KY9426 SC9486 SC9626,深圳航空公司,虹桥(T2),A,深圳,19:20:00
462,16:40,MU5383 3U5187 HO5414 MF3726,中国东方航空公司,浦东(T1-S1),B,遵义,19:20:00
463,16:45,TV9866 CA3964 EU7836 GJ5136 KY6736 SC6136 ZH3912,西藏航空公司,虹桥(T2),A,成都 双流,19:50:00
464,16:50,FM842 DL6529 MU8608,上海航空公司,浦东(T1-S1),D,上海 浦东,15:25:00
465,16:50,CZ3526 3U1208 HO7404 MF1337,中国南方航空公司,虹桥(T2),D,广州 白云,19:10:00
466,16:50,FM9085 MU8321,上海航空公司,虹桥(T2),B,沈阳 桃仙,19:20:00
467,16:50,CZ8880 3U2064 HO7678 MF4712,中国南方航空公司,虹桥(T2),D,北京 大兴,17:40:00
468,16:55,CA1558 HO5745 SC5403 ZH1558,中国国际航空公司,虹桥(T2),A,北京 首都,17:45:00
469,16:55,CA8685 SC5409 ZH4933,中国国际航空公司,浦东(T2-S2),K,北京 大兴,19:40:00
470,16:55,MU5307 HO5380 MF3664,中国东方航空公司,虹桥(T2),C,广州 白云,19:10:00
471,17:00,HO1055,吉祥航空公司,虹桥(T2),E,大同,19:45:00
472,17:00,CA8327 ZH4759,中国国际航空公司,浦东(T2),K,银川,19:39:00
473,17:00,MU5119 HO5376 MF3536,中国东方航空公司,虹桥(T2),C,北京 首都,19:15:00
474,17:05,CZ6976 3U1896,中国南方航空公司,浦东(T2-S2),B,南阳,19:01:00
475,17:05,SC4664 CA4762 G56952 TV3164 ZH2664,山东航空公司,虹桥(T2),A,青岛,18:45:00
476,17:05,CA1865 SC5447 ZH1865,中国国际航空公司,浦东(T2-S2),K,广州 白云,19:09:00
477,17:05,FM9321,上海航空公司,虹桥(T2),B,郑州,19:00:00
478,17:05,MU6627 AF5242 DL6429 HO5559 MF7584,中国东方航空公司,浦东(T1),B,烟台,19:13:00
479,17:10,CA8329 SC5433 ZH4761,中国国际航空公司,浦东(T2),K,佳木斯,21:15:00
480,17:10,MU5683 DL6420 EY5723 MF3919,中国东方航空公司,浦东(T1-S1),A,大连,19:50:00
481,17:10,MU5439 G58509 HO5503 MF3770,中国东方航空公司,虹桥(T2),B,天津,19:25:00
482,17:10,MU9191,中国东方航空公司,虹桥(T2),C,北京 大兴,19:05:00
483,16:45,TV9866 CA3964 EU7836 GJ5136 KY6736 SC6136 ZH3912,西藏航空公司,虹桥(T2),A,成都 双流,19:50:00
484,16:50,FM842 DL6529 MU8608,上海航空公司,浦东(T1-S1),D,上海 浦东,15:25:00
485,16:50,CZ3526 3U1208 HO7404 MF1337,中国南方航空公司,虹桥(T2),D,广州 白云,19:10:00
486,16:50,FM9085 MU8321,上海航空公司,虹桥(T2),B,沈阳 桃仙,19:20:00
487,16:50,CZ8880 3U2064 HO7678 MF4712,中国南方航空公司,虹桥(T2),D,北京 大兴,17:40:00
488,16:55,CA1558 HO5745 SC5403 ZH1558,中国国际航空公司,虹桥(T2),A,北京 首都,17:45:00
489,16:55,CA8685 SC5409 ZH4933,中国国际航空公司,浦东(T2-S2),K,北京 大兴,19:40:00
490,16:55,MU5307 HO5380 MF3664,中国东方航空公司,虹桥(T2),C,广州 白云,19:10:00
491,17:00,HO1055,吉祥航空公司,虹桥(T2),E,大同,19:45:00
492,17:00,CA8327 ZH4759,中国国际航空公司,浦东(T2),K,银川,19:39:00
493,17:00,MU5119 HO5376 MF3536,中国东方航空公司,虹桥(T2),C,北京 首都,19:15:00
494,17:05,CZ6976 3U1896,中国南方航空公司,浦东(T2-S2),B,南阳,19:01:00
495,17:05,SC4664 CA4762 G56952 TV3164 ZH2664,山东航空公司,虹桥(T2),A,青岛,18:45:00
496,17:05,CA1865 SC5447 ZH1865,中国国际航空公司,浦东(T2-S2),K,广州 白云,19:09:00
497,17:05,FM9321,上海航空公司,虹桥(T2),B,郑州,19:00:00
498,17:05,MU6627 AF5242 DL6429 HO5559 MF7584,中国东方航空公司,浦东(T1),B,烟台,19:13:00
499,17:10,CA8329 SC5433 ZH4761,中国国际航空公司,浦东(T2),K,佳木斯,21:15:00
500,17:10,MU5683 DL6420 EY5723 MF3919,中国东方航空公司,浦东(T1-S1),A,大连,19:50:00
501,17:10,MU5439 G58509 HO5503 MF3770,中国东方航空公司,虹桥(T2),B,天津,19:25:00
502,17:10,MU9191,中国东方航空公司,虹桥(T2),C,北京 大兴,19:05:00
503,17:30,HU7844,海南航空公司,浦东(T2-S2),A,西安 咸阳,19:55:00
504,17:35,9C8931,中国春秋航空公司,虹桥(T1),1,广州 白云,20:00:00
505,17:40,FM9313 MU8418,上海航空公司,虹桥(T2),C,广州 白云,19:45:00
506,17:40,MU5195 CZ1958 HO5721 KL8833 KN6074 MF3596,中国东方航空公司,浦东(T1),B,北京 大兴,19:24:00
507,17:40,MU5351 3U5185 HO5348 MF3701,中国东方航空公司,虹桥(T2),C,深圳,20:05:00
508,17:45,ZH9520 CA3484 HO5143 KY9520 SC9520,深圳航空公司,浦东(T2),K,深圳,19:50:00
509,17:50,CZ3488 AA9083 GJ3042 HO7393 MF1301,中国南方航空公司,浦东(T2-S2),B,广州 白云,22:35:00
510,17:50,HO1193,吉祥航空公司,浦东(T2),L,西安 咸阳,20:02:00
511,17:55,MU6149 HO5487 MF7376,中国东方航空公司,虹桥(T2),B,厦门,19:00:00
512,17:55,SC4668 CA4744 G58348 TV3158 ZH2648,山东航空公司,虹桥(T2),A,青岛,19:25:00
513,17:55,HO1253 3U4451 CA3281 CZ156 MF7644 MU3644 ZH5045,吉祥航空公司,虹桥(T2),E,北京 大兴,20:10:00
514,17:55,MU6403 DL6426 HO5518 MF7492,中国东方航空公司,浦东(T1-S1),B,桂林,20:04:00
515,18:00,FM9217 MU8363,上海航空公司,浦东(T1-S1),A,兰州,21:24:00
516,18:00,MU5121 HO5386 MF3538,中国东方航空公司,虹桥(T2),C,北京 首都,20:15:00
517,18:00,MU9011,中国东方航空公司,浦东(T1),A,揭阳 潮汕,20:25:00
518,18:00,9C6475,中国春秋航空公司,虹桥(T1),1,衡阳,20:10:00
519,18:00,MU6565 KN6184,中国东方航空公司,浦东(T1-S1),B,东胜,20:46:00
520,18:00,MU5415 3U5201 HO5338 MF3750,中国东方航空公司,虹桥(T2),C,成都 双流,22:10:00
521,18:00,MU2166 HO5577 MF3049,中国东方航空公司,虹桥(T2),B,西安 咸阳,20:35:00
522,18:00,FM9527 DL6561 KN3012 MU8545,上海航空公司,浦东(T1-S1),D,温州,19:19:00
523,18:05,CA8323 SC5461 ZH4755,中国国际航空公司,浦东(T2),K,湛江,20:39:00
524,18:05,Y87579,金鹏航空,浦东(T2-S2),A,怀化 芷江,20:13:00
525,18:05,HO1851 3U4501 CZ234 MF7608 MU3608 ZH5009,吉祥航空公司,虹桥(T2),E,广州 白云,20:25:00
526,18:10,9C8867,中国春秋航空公司,浦东(T2-S2),M,重庆,21:44:00
527,18:10,MU5776,中国东方航空公司,浦东(T1),B,井冈山,20:20:00
528,18:10,MU6345 HO5441 MF7464,中国东方航空公司,浦东(T1-S1),B,泉州 晋江,20:01:00
529,18:10,MF8548 3U2642 CZ4443 G59478 HO7283 MU4853 NS8548,厦门航空有限公司,虹桥(T1),1,福州,19:45:00
530,18:10,FM9359 DL6557 MU8447,上海航空公司,浦东(T1-S1),D,湛江,21:05:00
531,18:10,MF8510 3U2606 CZ4409 G59446 HO7247 MU4831 NS8510,厦门航空有限公司,虹桥(T1),1,厦门,20:00:00
532,18:15,MU6477 HO5484 MF7528,中国东方航空公司,浦东(T1-S1),B,山西 运城,20:34:00
533,18:15,HO1285 HO1234 MU3726,吉祥航空公司,浦东(T2),L,沈阳 桃仙,20:18:00
534,18:15,CA2822 SC5427 ZH4190,中国国际航空公司,虹桥(T2),A,天津,20:40:00
535,18:15,MU5517 HO5643 MF3814,中国东方航空公司,虹桥(T2),B,青岛,20:00:00
536,18:20,FM9389 MU8411,上海航空公司,虹桥(T2),B,长沙市,20:10:00
537,18:20,CZ3585 DL7768 HO7439 MF1385 SV6011,中国南方航空公司,浦东(T2-S2),B,广州 白云,20:24:00
538,18:20,MU5393 HO5535 MF3732,中国东方航空公司,浦东(T1),B,宜昌,20:30:00
539,18:20,HO1131 3U4401 CA3255 CZ080 MF7664 MU3664 ZH5065,吉祥航空公司,虹桥(T2),E,太原,20:35:00
540,18:25,MU5143 G58513 HO5545 MF3556,中国东方航空公司,虹桥(T2),B,天津,20:40:00
541,18:25,CZ6172 HO7530 MF1905,中国南方航空公司,浦东(T2-S2),B,武汉 天河,19:58:00
542,18:30,FM9221 DL6539,上海航空公司,浦东(T1),D,乌鲁木齐,00:03:00
543,18:30,ZH9522 CA3314 HO5195 KY9522 SC9240,深圳航空公司,浦东(T2),K,深圳,20:34:00
544,18:30,MU5353 HO5403 MF3703,中国东方航空公司,虹桥(T2),C,深圳,20:55:00
545,18:30,CA1522 SC5413 ZH1522,中国国际航空公司,虹桥(T2),A,北京 首都,21:00:00
546,18:35,PN6374,西部航空,浦东(T2-S2),A,重庆,21:11:00
547,18:35,HO1111 3U4387 CA3243 CZ066 MF7682 MU3682 ZH5083,吉祥航空公司,虹桥(T2),E,厦门,20:25:00
548,18:40,FM9353 DL6548 MU8449,上海航空公司,浦东(T1-S1),D,威海,20:20:00
549,18:40,CZ6156 AA9084 HO7528,中国南方航空公司,浦东(T2-S2),B,长春,20:51:00
550,18:40,MU6805 DL6430 HO5681 MF2222,中国东方航空公司,浦东(T1-S1),A,兰州,21:42:00
551,18:40,MU2994 HO5660 MF3515,中国东方航空公司,虹桥(T2),B,赣州,20:25:00
552,18:40,CZ3558 3U1228 HO7425 MF1361,中国南方航空公司,虹桥(T2),D,深圳,21:10:00
553,18:45,FM9363 MU8455,上海航空公司,虹桥(T2),B,武汉 天河,20:30:00
554,18:45,MU2405 HO5695 MF3188,中国东方航空公司,虹桥(T2),B,太原,21:05:00
555,18:50,CZ6502 AA9089 HO7579 MF4132,中国南方航空公司,浦东(T2-S2),B,沈阳 桃仙,20:45:00
556,18:50,CA1836 LH7147 NZ3715 SC5415 UA7571 ZH1836,中国国际航空公司,浦东(T2-S2),K,北京 首都,20:45:00
557,18:50,CZ3572 3U1234 HO7432 MF1374,中国南方航空公司,虹桥(T2),D,广州 白云,21:15:00
558,18:50,CA4516 SC5507 ZH4546,中国国际航空公司,虹桥(T2),A,成都 双流,22:00:00
559,18:55,3U8974 MU3562,四川航空公司,浦东(T2-S2),L,重庆,21:25:00
560,18:55,MU6399 HO5714,中国东方航空公司,浦东(T1),B,北海,21:31:00
561,18:55,HO1063,吉祥航空公司,虹桥(T2),E,襄樊,21:00:00
562,18:55,SC7618 CA4916 G58424 TV3312 ZH2794,山东航空公司,虹桥(T2),A,烟台,20:35:00
563,19:00,MU5123 3U5165 HO5389 MF3540,中国东方航空公司,虹桥(T2),C,北京 首都,21:15:00
564,19:00,CA8569 SC5453 ZH4847,中国国际航空公司,浦东(T2),K,桂林,21:11:00
565,19:00,MU5355 HO5398 MF3705,中国东方航空公司,虹桥(T2),C,深圳,21:25:00
566,19:00,ZH9526 CA3334 HO5159 KY9316 SC9226,深圳航空公司,浦东(T2),K,深圳,21:03:00
