序号,航班号,航空公司,目的地/经停地,出发地,航司电话,计划出发时间,计划到达时间,到达航站楼
201,MU2511 AF5295 DL6391 MF3260 VN3528,中国东方航空公司,上海 浦东,武汉 天河,95530,11:03:00,12:35:00,浦东(T1-S1)
202,HO1240 3U4448 CZ151 MF7657 MU3657 ZH5058,吉祥航空公司,上海 虹桥,太原,95520,10:31:00,12:40:00,虹桥(T2)
203,MU6212 AF5288 MF7399,中国东方航空公司,上海 浦东,银川,95530,10:05:00,12:40:00,浦东(T1-S1)
204,MU5396 G58541 HO5683 MF3735,中国东方航空公司,上海 虹桥,郑州,95530,10:48:00,12:40:00,虹桥(T2)
205,HO2198,吉祥航空公司,上海 浦东,长治,95520,11:01:00,12:40:00,浦东(T2)
206,CZ3851 HO7483 MF1591,中国南方航空公司,上海 浦东,揭阳 潮汕,4006695539,10:40:00,12:40:00,浦东(T2)
207,MU9980,中国东方航空公司,上海 浦东,青岛,95530,11:06:00,12:40:00,浦东(T1-S1)
208,CA1531 SC5400 ZH1531,中国国际航空公司,上海 虹桥,北京 首都,95583,10:33:00,12:40:00,虹桥(T2)
209,MU9719 3U5465 HO5619 MF2292,中国东方航空公司,上海 虹桥,丽江,95530,09:08:00,12:45:00,虹桥(T2)
210,FM9396 MU8472,上海航空公司,上海 虹桥,长沙市,95530,11:15:00,12:45:00,虹桥(T2)
211,FM9132 DL6537 MU8574,上海航空公司,上海 浦东,包头,95530,10:20:00,12:45:00,浦东(T1-S1)
212,9C8844,中国春秋航空公司,上海 浦东,大连,95524,10:42:00,12:45:00,浦东(T2)
213,HO1158 MU3627,吉祥航空公司,上海 浦东,珠海,95520,10:21:00,12:45:00,浦东(T2)
214,MU9715 HO5624 MF2288,中国东方航空公司,上海 浦东,昭通,95530,09:54:00,12:45:00,浦东(T1-S1)
215,MF8567 3U2655 CZ4462 G59489 HO7294 MU4862 NS8567,厦门航空有限公司,上海 虹桥,厦门,95557,11:18:00,12:50:00,虹桥(T1)
216,TV9865 CA3963 EU7835 GJ5135 KY6735 SC6135 ZH3911,西藏航空公司,上海 虹桥,成都 双流,956096,10:06:00,12:50:00,虹桥(T2)
217,MU5204 HO5475 MF3603,中国东方航空公司,上海 浦东,柳州,95530,10:37:00,12:50:00,浦东(T1-S1)
218,9C8902,中国春秋航空公司,上海 浦东,绵阳,95524,10:24:00,12:50:00,浦东(T2-S2)
219,FM9294,上海航空公司,上海 虹桥,揭阳 潮汕,95530,11:13:00,12:50:00,虹桥(T2)
220,CZ3657 3U1267 HO7461 MF1447,中国南方航空公司,上海 浦东,贵阳,4006695539,10:06:00,12:55:00,浦东(T2-S2)
221,CA8680 HO5757 SC5390 ZH4930,中国国际航空公司,上海 浦东,北京 大兴,95583,10:35:00,12:55:00,浦东(T2)
222,HO1162 AY3156,吉祥航空公司,上海 浦东,大连,95520,10:50:00,12:55:00,浦东(T2)
223,MU5248 HO5551 MF3633,中国东方航空公司,上海 虹桥,厦门,95530,11:12:00,12:55:00,虹桥(T2)
224,CZ6993 3U1909 MF4469,中国南方航空公司,上海 虹桥,乌鲁木齐,4006695539,08:17:00,12:55:00,虹桥(T2)
225,9C8824,中国春秋航空公司,上海 浦东,遵义,95524,10:57:00,13:00:00,浦东(T2-S2)
226,MU5306 MF3663,中国东方航空公司,上海 虹桥,广州 白云,95530,10:36:00,13:00:00,虹桥(T2)
227,CZ3550 3U1222 AA9078 DL7769 HO7419 MF1355 SV6010,中国南方航空公司,上海 浦东,广州 白云,4006695539,10:38:00,13:00:00,浦东(T2-S2)
228,CA4517 NZ3887 SC5506 ZH4547,中国国际航空公司,上海 浦东,成都 双流,95583,09:55:00,13:00:00,浦东(T2)
229,HO1856 3U4506 CZ239 MF7617 MU3617 ZH5018,吉祥航空公司,上海 虹桥,广州 白云,95520,10:54:00,13:05:00,虹桥(T2)
230,CZ5792 3U1446 GJ3130 HO7516 MF1797,中国南方航空公司,上海 浦东,西安 咸阳,4006695539,10:39:00,13:05:00,浦东(T2-S2)
231,MU2155 HO5568 MF3043,中国东方航空公司,上海 虹桥,西安 咸阳,95530,11:25:00,13:10:00,虹桥(T2)
232,9C8836,中国春秋航空公司,上海 虹桥,广州 白云,95524,11:03:00,13:10:00,虹桥(T1)
233,SC4663 CA4761 G56951 TV3163 ZH2663,山东航空公司,上海 虹桥,青岛,95369,11:43:00,13:10:00,虹桥(T2)
234,HO1882 3U4512 CZ247 MF7601 MU3601 ZH5002,吉祥航空公司,上海 虹桥,深圳,95520,11:09:00,13:15:00,虹桥(T2)
235,CA1523 SC5402 ZH1523,中国国际航空公司,上海 虹桥,北京 首都,95583,11:08:00,13:15:00,虹桥(T2)
236,MU6448 HO5411,中国东方航空公司,上海 浦东,朝阳,95530,11:18:00,13:15:00,浦东(T1)
237,CZ3537 3U1215 HO7412 MF1347,中国南方航空公司,上海 虹桥,广州 白云,4006695539,11:10:00,13:20:00,虹桥(T2)
238,FM9272 MU8400,上海航空公司,上海 浦东,西宁,95530,11:41:00,13:20:00,浦东(T1)
239,MU2505,中国东方航空公司,上海 虹桥,武汉 天河,95530,11:34:00,13:20:00,虹桥(T2)
240,HO1106 3U4384 CA3242 CZ063 MF7675 MU3675 ZH5076,吉祥航空公司,上海 虹桥,厦门,95520,11:45:00,13:25:00,虹桥(T2)
241,CA8302 NZ3738 SC5160 ZH4602,中国国际航空公司,上海 浦东,哈尔滨,95583,10:27:00,13:25:00,浦东(T2)
242,CZ3255 3U1083 HO7373 MF1138,中国南方航空公司,上海 虹桥,深圳,4006695539,11:03:00,13:25:00,虹桥(T2)
243,HO1184 AY3168 MU3721,吉祥航空公司,上海 浦东,沈阳 桃仙,95520,11:08:00,13:30:00,浦东(T2)
244,MU5108 HO5367 MF3525,中国东方航空公司,上海 虹桥,北京 首都,95530,11:04:00,13:30:00,虹桥(T2)
245,MU5154 DL6468 MF3567,中国东方航空公司,上海 浦东,北京 首都,95530,11:30:00,13:30:00,浦东(T1)
246,HO1036 MU3805,吉祥航空公司,上海 浦东,赤峰,95520,10:56:00,13:30:00,浦东(T2)
247,FM9114 DL6532,上海航空公司,上海 浦东,天津,95530,11:29:00,13:30:00,浦东(T1)
248,MU5144 G58514 HO5706 MF3557,中国东方航空公司,上海 虹桥,天津,95530,11:41:00,13:35:00,虹桥(T2)
249,9C7118,中国春秋航空公司,上海 虹桥,贵阳,95524,11:25:00,13:35:00,虹桥(T1)
250,HO1148 AY3182,吉祥航空公司,上海 浦东,桂林,95520,11:09:00,13:35:00,浦东(T2)
251,FM9464 MU8514,上海航空公司,上海 虹桥,贵阳,95530,11:20:00,13:40:00,虹桥(T2)
252,Y87502,金鹏航空,上海 浦东,三亚,950719,10:57:00,13:40:00,浦东(T2-S2)
253,9C8810,中国春秋航空公司,上海 浦东,长春,95524,10:53:00,13:40:00,浦东(T2-S2)
254,GS7587,天津航空,上海 浦东,宜昌,95350,11:59:00,13:40:00,浦东(T2-S2)
255,MU5664 HO5530 MF3906,中国东方航空公司,上海 虹桥,厦门,95530,13:48:00,13:45:00,虹桥(T2)
256,HO1224,吉祥航空公司,上海 浦东,榆林,95520,11:09:00,13:45:00,浦东(T2-S2)
257,MU6544 HO5668,中国东方航空公司,上海 浦东,大同,95530,11:13:00,13:45:00,浦东(T1)
258,MU5518 HO5644 MF3815,中国东方航空公司,上海 虹桥,青岛,95530,11:58:00,13:45:00,虹桥(T2)
259,MU5574,中国东方航空公司,上海 浦东,赣州,95530,12:21:00,13:50:00,浦东(T1-S1)
260,HO1222 3U4438 CZ137 MF7635 MU3635 ZH5036,吉祥航空公司,上海 虹桥,贵阳,95520,11:27:00,13:50:00,虹桥(T2)
261,CA1557 HO5744 SC5404 ZH1557,中国国际航空公司,上海 虹桥,北京 首都,95583,11:41:00,13:50:00,虹桥(T2)
262,CZ6209 3U1531 AA9082 HO7531 MF1930,中国南方航空公司,上海 浦东,哈尔滨,4006695539,10:47:00,13:50:00,浦东(T2-S2)
263,HO1218 3U4436 CZ133 MF7647 MU3647 ZH5048,吉祥航空公司,上海 虹桥,西安 咸阳,95520,11:41:00,13:50:00,虹桥(T2)
264,FM9222 DL6528,上海航空公司,上海 浦东,乌鲁木齐,95530,09:20:00,13:55:00,浦东(T1-S1)
265,MU6328,中国东方航空公司,上海 虹桥,湛江,95530,11:59:00,13:55:00,虹桥(T2)
266,9C8898,中国春秋航空公司,上海 虹桥,重庆,95524,11:23:00,13:55:00,虹桥(T1)
267,CA8536 NZ3732 ZH4822,中国国际航空公司,上海 浦东,兰州,95583,11:32:00,13:55:00,浦东(T2)
268,CA1894 SC5458 UA7615 ZH1894,中国国际航空公司,上海 浦东,深圳,95583,11:26:00,13:55:00,浦东(T2)
269,MU5338 MF3689,中国东方航空公司,上海 虹桥,深圳,95530,11:47:00,14:00:00,虹桥(T2)
270,FM9340,上海航空公司,上海 虹桥,南宁,95530,11:22:00,14:00:00,虹桥(T2)
271,MU6620 HO5538 MF7579,中国东方航空公司,上海 浦东,北海,95530,11:38:00,14:00:00,浦东(T1-S1)
272,MU6174,中国东方航空公司,上海 虹桥,太原,95530,12:05:00,14:00:00,虹桥(T2)
273,MF8541 3U2635 CZ4436 G59471 HO7276 MU4848 NS8541,厦门航空有限公司,上海 虹桥,福州,95557,12:38:00,14:05:00,虹桥(T1)
274,MU5805 3U5303 HO5357 MF3964,中国东方航空公司,上海 虹桥,昆明,95530,11:06:00,14:05:00,虹桥(T2)
275,CZ5665,中国南方航空公司,上海 浦东,揭阳 潮汕,4006695539,11:55:00,14:05:00,浦东(T2)
276,CZ8879 3U2063 HO7677 MF4711,中国南方航空公司,上海 虹桥,北京 大兴,4006695539,12:16:00,14:10:00,虹桥(T2)
277,MU5428 3U5212 HO5352 MF3763,中国东方航空公司,上海 虹桥,重庆,95530,12:18:00,14:15:00,虹桥(T2)
278,HO1250 AY3164,吉祥航空公司,上海 浦东,重庆,95520,11:43:00,14:15:00,浦东(T2)
279,CA8586 NZ3746 SC5440 ZH4860,中国国际航空公司,上海 浦东,长春,95583,11:12:00,14:20:00,浦东(T2)
280,CZ6543 3U1661 AA9080 HO7604,中国南方航空公司,上海 浦东,长春,4006695539,11:25:00,14:20:00,浦东(T2-S2)
281,CZ3539 HO7414 MF1349,中国南方航空公司,上海 虹桥,广州 白云,4006695539,12:21:00,14:20:00,虹桥(T2)
282,HO2204 AY3192,吉祥航空公司,上海 浦东,太原,95520,11:51:00,14:20:00,浦东(T2)
283,MU2157 3U5013 HO5333 MF3045,中国东方航空公司,上海 虹桥,西安 咸阳,95530,12:14:00,14:20:00,虹桥(T2)
284,HU7331,海南航空公司,上海 浦东,广州 白云,95339,12:03:00,14:25:00,浦东(T2-S2)
285,FM9072 DL6530 MU8310,上海航空公司,上海 浦东,长春,95530,11:30:00,14:25:00,浦东(T1)
286,CZ3551 3U1223 HO7420 MF1356,中国南方航空公司,上海 虹桥,深圳,4006695539,12:16:00,14:25:00,虹桥(T2)
287,NS8372,河北航空公司,上海 虹桥,深圳,0311-96699,12:12:00,14:25:00,虹桥(T1)
288,ZH9503 CA3311 HO5146 KY9503 SC9209 SC9483,深圳航空公司,上海 虹桥,深圳,95361,12:01:00,14:25:00,虹桥(T2)
289,MF8372 3U2486 CZ4289 G59110 GJ3886 HO7145 MU4759,厦门航空有限公司,上海 虹桥,深圳,95557,12:12:00,14:25:00,虹桥(T1)
290,MU5110 HO5323 MF3527,中国东方航空公司,上海 虹桥,北京 首都,95530,12:17:00,14:30:00,虹桥(T2)
291,CZ6515 AA9076 HO7588 MF4145,中国南方航空公司,上海 浦东,沈阳 桃仙,4006695539,12:06:00,14:35:00,浦东(T2-S2)
292,FM9410 MU8478,上海航空公司,上海 浦东,绵阳,95530,12:02:00,14:35:00,浦东(T1)
293,FM9220 MU8366,上海航空公司,上海 虹桥,乌鲁木齐,95530,09:42:00,14:35:00,虹桥(T2)
294,MU6146 MF7375,中国东方航空公司,上海 浦东,丽江,95530,11:15:00,14:40:00,浦东(T1)
295,FM9538 MU8550,上海航空公司,上海 虹桥,三亚,95530,11:31:00,14:40:00,虹桥(T2)
296,FM9308 MU8416,上海航空公司,上海 虹桥,广州 白云,95530,12:37:00,14:40:00,虹桥(T2)
297,MU6802 HO5508 MF2219,中国东方航空公司,上海 虹桥,兰州,95530,12:18:00,14:45:00,虹桥(T2)
298,CA1533 SC5408 ZH1533,中国国际航空公司,上海 虹桥,北京 首都,95583,14:05:00,14:45:00,虹桥(T2)
299,UQ2599,乌鲁木齐航空公司,上海 浦东,乌鲁木齐,95334,10:06:00,14:45:00,浦东(T2-S2)
300,CA8326 HO5753 NZ3717 SC5368 ZH4758,中国国际航空公司,上海 浦东,西安 咸阳,95583,12:38:00,14:45:00,浦东(T2)
301,MF8521 3U2617 CZ4420 G59457 HO7258 MU4838 NS8521,厦门航空有限公司,上海 虹桥,厦门,95557,13:16:00,14:45:00,虹桥(T1)
302,HO1172 3U4418 CZ107 MF7623 MU3623 ZH5024,吉祥航空公司,上海 虹桥,南宁,95520,12:17:00,14:50:00,虹桥(T2)
303,CZ6523 AA9072 HO7594 MF4153,中国南方航空公司,上海 浦东,大连,4006695539,12:37:00,14:50:00,浦东(T2-S2)
304,MU5616 3U5252 DL6388 MF3881 QF4296,中国东方航空公司,上海 浦东,哈尔滨,95530,11:55:00,14:50:00,浦东(T1)
305,MU5410 3U5196 HO5427 MF3745,中国东方航空公司,上海 虹桥,成都 双流,95530,14:10:00,14:55:00,虹桥(T2)
306,MU5600 DL6466 EY5713 HO5517 MF3869 QF4004,中国东方航空公司,上海 浦东,福州,95530,13:27:00,14:55:00,浦东(T1)
307,HO1282 AY3194 MU3701 NH9778,吉祥航空公司,上海 浦东,长春,95520,12:12:00,14:55:00,浦东(T2-S2)
308,9C8780,中国春秋航空公司,上海 浦东,三亚,95524,11:44:00,14:55:00,浦东(T2-S2)
309,FM9332 MU8432,上海航空公司,上海 虹桥,深圳,95530,12:47:00,14:55:00,虹桥(T2)
310,HU7725,海南航空公司,上海 浦东,深圳,95339,12:26:00,14:55:00,浦东(T2-S2)
311,MU5336 3U5184 MF3687,中国东方航空公司,上海 虹桥,深圳,95530,12:54:00,15:00:00,虹桥(T2)
312,CZ5121,中国南方航空公司,上海 虹桥,长沙市,4006695539,12:49:00,15:00:00,虹桥(T2)
313,MU970W,中国东方航空公司,上海 浦东,大理,95530,11:10:00,15:00:00,浦东(T1-S1)
314,MU5566 MF3850,中国东方航空公司,上海 虹桥,珠海,95530,12:31:00,15:00:00,虹桥(T2)
315,MU2521 HO5726 MF3268,中国东方航空公司,上海 虹桥,武汉 天河,95530,13:31:00,15:05:00,虹桥(T2)
316,MU2226,中国东方航空公司,上海 虹桥,西安 咸阳,95530,13:41:00,15:10:00,虹桥(T2)
317,CZ5741 HO7511 MF1776,中国南方航空公司,上海 浦东,揭阳 潮汕,4006695539,13:09:00,15:10:00,浦东(T2-S2)
318,MU5112 3U5162 HO5371 MF3529,中国东方航空公司,上海 虹桥,北京 首都,95530,13:03:00,15:10:00,虹桥(T2)
319,MU5807 HO5596,中国东方航空公司,上海 虹桥,昆明,95530,12:04:00,15:15:00,虹桥(T2)
320,MU5196 CZ1959 HO5720 KN6075 MF3597 QF4282,中国东方航空公司,上海 浦东,北京 大兴,95530,13:16:00,15:15:00,浦东(T1-S1)
321,FM9310 DL6551 MU8417,上海航空公司,上海 浦东,广州 白云,95530,13:14:00,15:15:00,浦东(T1)
322,MU6354 HO5502 MF7471,中国东方航空公司,上海 虹桥,长春,95530,12:41:00,15:20:00,虹桥(T2)
323,HU7119,海南航空公司,上海 浦东,海口,95339,12:27:00,15:20:00,浦东(T2-S2)
324,MF8194 3U2338 CZ4099 G59094 HO7055 MU4665 NS8194,厦门航空有限公司,上海 虹桥,呼和浩特,95557,12:54:00,15:20:00,虹桥(T1)
325,CZ3561 HO7426 MF1364,中国南方航空公司,上海 虹桥,深圳,4006695539,13:11:00,15:20:00,虹桥(T2)
326,ZH9505 CA3635 HO5174 KY9425 SC9485 SC9625,深圳航空公司,上海 虹桥,深圳,95361,12:59:00,15:25:00,虹桥(T2)
327,MU5340 DL6404 EY5731 HO5388 MF3691 QF4281,中国东方航空公司,上海 浦东,深圳,95530,13:00:00,15:25:00,浦东(T1)
328,HO1016 AY3196,吉祥航空公司,上海 浦东,呼和浩特,95520,12:51:00,15:25:00,浦东(T2)
329,CZ3525 3U1207 HO7403 MF1336,中国南方航空公司,上海 虹桥,广州 白云,4006695539,13:16:00,15:25:00,虹桥(T2)
330,FM9116 MU8338,上海航空公司,上海 虹桥,天津,95530,13:30:00,15:25:00,虹桥(T2)
331,9C8954,中国春秋航空公司,上海 虹桥,昆明,95524,12:51:00,15:30:00,虹桥(T1)
332,CZ3678 3U1280 HO7464,中国南方航空公司,上海 浦东,昆明,4006695539,12:39:00,15:30:00,浦东(T2-S2)
333,CZ3835 HO7479,中国南方航空公司,上海 浦东,三亚,4006695539,12:07:00,15:30:00,浦东(T2-S2)
334,FM9082 MU8318,上海航空公司,上海 浦东,沈阳 桃仙,95530,12:40:00,15:35:00,浦东(T1)
335,MU6340,中国东方航空公司,上海 虹桥,沈阳 桃仙,95530,13:05:00,15:40:00,虹桥(T2)
336,HO2076 3U4544 CZ7442 MF7655 MU3655 ZH5056,吉祥航空公司,上海 虹桥,昆明,95520,12:58:00,15:40:00,虹桥(T2)
337,FM9312 MU8561,上海航空公司,上海 虹桥,广州 白云,95530,13:44:00,15:45:00,虹桥(T2)
338,CA8558 HO5755 NZ3717 SC5488 ZH4258,中国国际航空公司,上海 浦东,成都 双流,95583,13:20:00,15:45:00,浦东(T2-S2)
339,HO1080 MU3821,吉祥航空公司,上海 浦东,长沙市,95520,13:48:00,15:45:00,浦东(T2)
340,MU5156 HO5375 MF3569,中国东方航空公司,上海 虹桥,北京 首都,95530,13:40:00,15:45:00,虹桥(T2)
341,HO1228,吉祥航空公司,上海 浦东,丽江,95520,12:16:00,15:50:00,浦东(T2)
342,HU7321,海南航空公司,上海 浦东,三亚,95339,12:28:00,15:50:00,浦东(T2-S2)
343,MU5342 HO5347 MF3693,中国东方航空公司,上海 虹桥,深圳,95530,13:42:00,15:50:00,虹桥(T2)
344,CA8544 NZ3734 SC5154 ZH4828,中国国际航空公司,上海 浦东,重庆,95583,13:32:00,15:50:00,浦东(T2)
345,MU9717 3U5463 HO5608 MF2290,中国东方航空公司,上海 浦东,大理,95530,12:30:00,15:50:00,浦东(T1)
346,MU9804 AF4407 GJ3384 HO5567 MF2319 QF4278,中国东方航空公司,上海 浦东,西安 咸阳,95530,13:49:00,15:55:00,浦东(T1-S1)
347,MU5666 HO5687 MF3908,中国东方航空公司,上海 虹桥,厦门,95530,14:19:00,15:55:00,虹桥(T2)
348,HO1038,吉祥航空公司,上海 浦东,景洪 嘎洒,95520,12:21:00,16:00:00,浦东(T2)
349,MU9196,中国东方航空公司,上海 虹桥,重庆,95530,13:55:00,16:00:00,虹桥(T2)
350,MU5809 3U5305 MF3968,中国东方航空公司,上海 虹桥,昆明,95530,13:46:00,16:00:00,虹桥(T2)
351,CA1517 HO5742 SC5412 ZH1517,中国国际航空公司,上海 虹桥,北京 首都,95583,13:32:00,16:00:00,虹桥(T2)
352,CZ6975 3U1895,中国南方航空公司,上海 浦东,南阳,4006695539,13:56:00,16:00:00,浦东(T2-S2)
353,HO1884 3U4514 CA3294 CZ249 MF7611 MU3611 ZH5012,吉祥航空公司,上海 虹桥,深圳,95520,14:05:00,16:05:00,虹桥(T2)
354,TV9881 CA3967 EU7849 GJ5149 KY6749 SC6149 ZH3927,西藏航空公司,上海 虹桥,成都 双流,956096,13:38:00,16:05:00,虹桥(T2)
355,MU2533 AF5218 DL6392 KL8770 MF3278 QF4010,中国东方航空公司,上海 浦东,武汉 天河,95530,14:26:00,16:05:00,浦东(T1)
356,MU5688 HO5449 MF3922,中国东方航空公司,上海 浦东,乌鲁木齐,95530,11:09:00,16:05:00,浦东(T1)
357,CZ6981 3U1899 MF4461,中国南方航空公司,上海 虹桥,乌鲁木齐,4006695539,11:29:00,16:05:00,虹桥(T2)
358,GJ8560,浙江长龙航空有限公司,上海 浦东,银川,956199,13:23:00,16:10:00,浦东(T2-S2)
359,MF8579 3U2665 CZ4370 G59347 HO7302 MU4866 NS8579,厦门航空有限公司,上海 虹桥,泉州 晋江,95557,14:38:00,16:10:00,虹桥(T1)
360,MU6334 HO5465 MF7459,中国东方航空公司,上海 虹桥,大连,95530,14:12:00,16:15:00,虹桥(T2)
361,FM9398 DL6559 MU8474,上海航空公司,上海 浦东,长沙市,95530,14:19:00,16:15:00,浦东(T1-S1)
362,MU5316 HO5379 MF3673,中国东方航空公司,上海 虹桥,广州 白云,95530,14:04:00,16:15:00,虹桥(T2)
363,SC4659 CA4737 G58341 TV3151 ZH2641,山东航空公司,上海 虹桥,青岛,95369,14:30:00,16:15:00,虹桥(T2)
364,MU5114 HO5385 MF3531,中国东方航空公司,上海 虹桥,北京 首都,95530,14:09:00,16:15:00,虹桥(T2)
365,CZ3579 3U1235 HO7436 MF1380,中国南方航空公司,上海 浦东,武汉 天河,4006695539,14:27:00,16:15:00,浦东(T2-S2)
366,MU2404 HO5694 MF3187,中国东方航空公司,上海 虹桥,太原,95530,14:00:00,16:20:00,虹桥(T2)
367,FM9256 MU8388,上海航空公司,上海 浦东,海口,95530,13:48:00,16:20:00,浦东(T1-S1)
368,HO1180 AY3166 MU3777,吉祥航空公司,上海 浦东,哈尔滨,95520,13:19:00,16:25:00,浦东(T2)
369,HO1076 MU3703,吉祥航空公司,上海 浦东,青岛,95520,15:03:00,16:25:00,浦东(T2)
370,MU2159 3U5015 HO5576 MF3047,中国东方航空公司,上海 虹桥,西安 咸阳,95530,14:16:00,16:25:00,虹桥(T2)
371,ZH9519 CA3483 HO5142 KY9519 SC9519,深圳航空公司,上海 浦东,深圳,95361,13:56:00,16:30:00,浦东(T2)
372,9C8882,中国春秋航空公司,上海 虹桥,深圳,95524,14:31:00,16:30:00,虹桥(T1)
373,MU6348 HO5642 MF7467,中国东方航空公司,上海 虹桥,哈尔滨,95530,13:29:00,16:30:00,虹桥(T2)
374,MU5414 3U5200 AF4409 HO5321 MF3749 QF4016,中国东方航空公司,上海 浦东,成都 双流,95530,14:13:00,16:30:00,浦东(T1)
375,CZ3487 GJ3041 HO7392 MF1300,中国南方航空公司,上海 浦东,广州 白云,4006695539,14:13:00,16:30:00,浦东(T2-S2)
376,MU6418 HO5677 MF7503,中国东方航空公司,上海 浦东,厦门,95530,14:47:00,16:35:00,浦东(T1-S1)
377,9C6834,中国春秋航空公司,上海 虹桥,西宁,95524,13:46:00,16:35:00,虹桥(T1)
378,MU5308 HO5329 MF3665,中国东方航空公司,上海 虹桥,广州 白云,95530,14:43:00,16:40:00,虹桥(T2)
379,HO1136 MU3695,吉祥航空公司,上海 浦东,张家界 大庸,95520,14:30:00,16:40:00,浦东(T2)
380,9C6804,中国春秋航空公司,上海 浦东,哈尔滨,95524,13:48:00,16:45:00,浦东(T2-S2)
381,9C8838,中国春秋航空公司,上海 虹桥,厦门,95524,15:07:00,16:45:00,虹桥(T1)
382,HO1858 3U4508 CZ241 MF7607 MU3607 ZH5008,吉祥航空公司,上海 虹桥,广州 白云,95520,14:39:00,16:50:00,虹桥(T2)
383,SC4667 CA4743 G58347 TV3157 ZH2647,山东航空公司,上海 虹桥,青岛,95369,15:25:00,16:50:00,虹桥(T2)
384,FM9368 DL6549 MU8460,上海航空公司,上海 浦东,桂林,95530,14:30:00,16:50:00,浦东(T1)
385,CA1521 LH7140 SC5414 ZH1521,中国国际航空公司,上海 虹桥,北京 首都,95583,14:52:00,16:55:00,虹桥(T2)
386,MU5775,中国东方航空公司,上海 浦东,井冈山,95530,15:17:00,16:55:00,浦东(T1)
387,9C6450,中国春秋航空公司,上海 浦东,景洪 嘎洒,95524,13:14:00,17:00:00,浦东(T2-S2)
388,MU5412 3U5198 HO5337 MF3747,中国东方航空公司,上海 虹桥,成都 双流,95530,14:08:00,17:00:00,虹桥(T2)
389,MU5604 EY5726 HO5654 MF3873 QF4284,中国东方航空公司,上海 浦东,沈阳 桃仙,95530,14:42:00,17:00:00,浦东(T1)
390,MF8509 3U2605 CZ4408 G59445 HO7246 MU4830 NS8509,厦门航空有限公司,上海 虹桥,厦门,95557,15:12:00,17:00:00,虹桥(T1)
391,FM9530 KN3015 MU8548,上海航空公司,上海 浦东,温州,95530,15:34:00,17:00:00,浦东(T1)
392,CA2821 SC5428 ZH4189,中国国际航空公司,上海 虹桥,天津,95583,14:53:00,17:05:00,虹桥(T2)
393,MU5528 AF5250 HO5440 MF3823 QF4009,中国东方航空公司,上海 浦东,烟台,95530,15:17:00,17:05:00,浦东(T1-S1)
394,MU5158 MF3571 QF4034,中国东方航空公司,上海 浦东,北京 首都,95530,14:57:00,17:05:00,浦东(T1)
395,MF8547 3U2641 CZ4442 G59477 HO7282 MU4852 NS8547,厦门航空有限公司,上海 虹桥,福州,95557,15:50:00,17:05:00,虹桥(T1)
396,PN6373,西部航空,上海 浦东,重庆,95373,14:37:00,17:05:00,浦东(T2-S2)
397,FM9348,上海航空公司,上海 浦东,郑州,95530,15:13:00,17:10:00,浦东(T1-S1)
398,MU5344 HO5402 MF3695,中国东方航空公司,上海 虹桥,深圳,95530,14:58:00,17:10:00,虹桥(T2)
399,FM9452 MU8504,上海航空公司,上海 虹桥,昆明,95530,14:16:00,17:15:00,虹桥(T2)
400,MU5290 MF3655,中国东方航空公司,上海 浦东,珠海,95530,15:00:00,17:15:00,浦东(T1)